ID,Lon,Lat,Observations,RF,RK_RF,LMM
1,4.48,8.49,253.0,189.1376495361328,210.83897399902344,179.7355194091797
2,30.09,-20.27,22.0,23.5093994140625,21.094812393188477,23.65787696838379
3,32.96,0.46,245.0,221.32177734375,237.8213653564453,148.87753295898438
4,39.82,13.54,185.0,41.1627311706543,55.72146987915039,70.80564880371094
5,2.3,6.5,120.0,177.0624542236328,188.21726989746094,161.5250701904297
6,34.45,2.45,30.0,72.24567413330078,58.64592742919922,46.649436950683594
7,25.69,-25.12,11.0,13.19974136352539,12.411593437194824,12.997137069702148
8,24.7,-24.53,4.0,5.114158630371094,4.2063398361206055,6.317509174346924
9,29.56,-23.67,48.0,28.80445098876953,26.413753509521484,24.865535736083984
10,25.98,-32.71,4.5,34.006534576416016,23.390581130981445,11.414817810058594
11,34.7,-4.6,25.0,41.25276184082031,33.706275939941406,29.817337036132812
12,30.84,13.37,6.0,12.287144660949707,10.028038024902344,7.4352216720581055
13,33.57,-13.6,114.0,98.71623992919922,110.02041625976562,88.3454360961914
15,31.3,27.26,1.5,1.428367257118225,1.5675718784332275,1.7001979351043701
16,2.5,13.5,20.0,27.64801025390625,25.743749618530273,22.759017944335938
17,29.81,-0.66,104.0,68.56425476074219,53.916961669921875,82.14595794677734
18,26.65,-22.42,4.0,11.39266300201416,9.939254760742188,6.706508159637451
19,35.7,-5.99,16.0,29.45993423461914,23.041275024414062,21.75065803527832
20,30.75,-20.75,22.0,27.767606735229492,25.917665481567383,27.94883918762207
21,11.0,13.25,44.0,14.949295997619629,25.538869857788086,31.894458770751953
22,25.67,-25.15,18.0,13.19974136352539,12.411593437194824,12.997137069702148
24,-9.02,30.44,14.0,9.104851722717285,13.214842796325684,14.580262184143066
25,25.0,-18.88,8.0,21.88248062133789,19.053071975708008,9.7440185546875
26,29.97,27.74,1.3,1.0792841911315918,1.1232987642288208,0.731126606464386
27,32.79,2.05,200.0,191.710693359375,196.79733276367188,134.73855590820312
30,28.78,-14.47,80.0,58.603233337402344,62.57024002075195,72.8798828125
31,26.69,-29.57,13.0,30.330053329467773,23.152193069458008,17.753694534301758
32,30.7,-0.08,17.0,61.786529541015625,37.387996673583984,47.67965316772461
33,24.93,-24.03,5.0,6.166410446166992,4.873229026794434,5.384891510009766
34,33.8,15.9,0.6,3.2719476222991943,2.023482322692871,1.9475691318511963
35,-16.31,15.99,10.8,10.98906135559082,12.06960391998291,11.090285301208496
36,2.06,13.26,13.0,25.40005874633789,18.69329071044922,23.812763214111328
37,-0.68,14.19,136.0,23.491785049438477,46.97969055175781,57.33831024169922
38,25.02,-24.1,11.0,6.477704048156738,5.356212139129639,5.628386497497559
39,-1.28,10.2,82.0,98.37306213378906,88.57237243652344,83.61315155029297
41,10.5,33.3,2.0,3.3058314323425293,2.6259305477142334,2.0095982551574707
42,33.58,1.74,147.0,168.8761444091797,163.81785583496094,136.32196044921875
43,10.45,12.81,14.0,15.630659103393555,30.914274215698242,39.49530029296875
44,1.75,9.75,147.0,111.80107116699219,109.69070434570312,104.55686950683594
45,22.58,-32.35,11.8,6.40244197845459,5.157995223999023,11.11789608001709
46,19.33,-33.16,48.0,50.504947662353516,72.5163345336914,46.501197814941406
47,20.5,-19.6,11.5,10.552658081054688,9.559779167175293,8.281564712524414
48,15.3,-4.5,420.0,249.80577087402344,310.22491455078125,255.5070037841797
49,43.1,11.45,5.0,1.6764572858810425,1.8105746507644653,6.280092716217041
51,-0.33,5.83,125.0,181.99839782714844,151.30848693847656,122.36988830566406
52,-0.86,10.79,71.0,84.3018569946289,76.49243927001953,84.1646957397461
53,-3.02,16.7,25.0,5.9583306312561035,7.030036926269531,7.2457709312438965
54,17.7,-19.7,20.0,20.901378631591797,27.55117416381836,24.166276931762695
55,19.8,-25.8,4.5,4.278936386108398,4.005985260009766,4.883797645568848
56,19.58,-29.75,3.0,2.2299749851226807,1.7397834062576294,2.5768401622772217
57,17.79,-30.29,0.62,3.4826338291168213,1.6151669025421143,2.216618776321411
58,26.5,-26.0,54.0,42.035152435302734,45.06292724609375,30.852108001708984
59,31.26,-28.27,92.0,62.280277252197266,50.702598571777344,65.7109603881836
60,18.48,-32.2,3.5,6.6887431144714355,5.176192760467529,9.3679838180542
61,23.5,-27.44,9.0,14.956787109375,16.791255950927734,12.223437309265137
62,22.83,-27.24,29.0,7.8055195808410645,10.676640510559082,11.80921745300293
63,19.24,-33.28,156.0,48.15666580200195,57.97615051269531,63.74380874633789
64,20.53,-33.65,13.0,11.306662559509277,10.234935760498047,18.57953453063965
65,10.34,12.68,130.0,26.577001571655273,51.496925354003906,44.8709602355957
66,30.7,-18.42,95.0,40.86019515991211,53.19487380981445,59.07546615600586
67,28.23,-19.83,22.0,22.335678100585938,23.149518966674805,19.659196853637695
68,1.31,6.48,63.0,109.36834716796875,99.7098617553711,101.43610382080078
69,38.84,8.94,198.0,136.58555603027344,166.84066772460938,129.5170440673828
70,-0.86,10.33,130.0,108.10127258300781,101.52607727050781,84.75115966796875
71,-0.85,9.43,32.0,76.3614501953125,53.63834762573242,70.1022720336914
72,19.31,-19.9,1.4,8.346874237060547,5.138881683349609,6.678447723388672
73,10.31,6.44,941.0,243.61660766601562,364.31475830078125,453.0836181640625
74,10.44,5.99,251.0,264.8906555175781,340.2351379394531,298.4942626953125
75,11.55,3.8,87.0,255.7300567626953,197.7489776611328,131.7797088623047
76,14.34,10.6,77.0,65.07051849365234,68.38383483886719,67.98532104492188
77,5.43,30.47,2.0,1.0808131694793701,1.3453233242034912,1.0942139625549316
78,-0.54,10.3,94.0,99.36742401123047,92.77194213867188,80.50341796875
79,39.46,13.51,37.0,48.65150451660156,65.31598663330078,81.04093933105469
80,-3.61,14.35,20.0,24.230607986450195,23.831966400146484,31.35904312133789
81,18.5,-24.2,24.0,9.330408096313477,13.055248260498047,8.041013717651367
82,-17.29,14.77,22.0,-9999.0,-3.3999999521443642e+38,15.260282516479492
83,16.79,-17.47,43.0,26.19283676147461,30.49848747253418,28.706464767456055
84,-7.8,31.43,50.6,8.19993782043457,10.614517211914062,40.07605743408203
85,18.6,-33.52,60.0,18.51653289794922,20.40671730041504,50.138919830322266
86,18.91,-34.13,184.0,-9999.0,-3.3999999521443642e+38,87.47123718261719
87,-3.01,16.75,3.6,3.731959104537964,4.718118190765381,6.540403366088867
88,30.3,-23.15,19.4,36.597591400146484,28.43791961669922,29.69980239868164
89,11.03,37.04,12.0,-9999.0,-3.3999999521443642e+38,12.313937187194824
90,-14.81,17.54,7.5,3.972198724746704,4.8624725341796875,6.21080207824707
91,6.77,31.5,0.36,0.9330675601959229,0.6409907341003418,0.6169775128364563
92,8.5,33.5,1.05,0.981890857219696,0.8958107233047485,1.1886135339736938
93,-7.47,11.42,149.0,112.26316833496094,127.85955810546875,132.9396514892578
94,39.17,-6.92,52.0,89.31361389160156,70.13583374023438,54.08505630493164
95,26.72,-22.4,12.0,13.52086067199707,12.307171821594238,8.180006980895996
96,30.1,-23.59,50.0,48.15226745605469,40.49811553955078,33.56199645996094
97,2.7,13.6,25.0,24.525936126708984,24.07813835144043,22.467851638793945
98,2.66,13.48,24.0,25.47784996032715,22.841793060302734,23.26165771484375
99,13.0,11.5,43.0,41.66748809814453,42.48455810546875,57.51357650756836
100,-0.95,10.94,60.0,83.55562591552734,77.42684936523438,81.57142639160156
101,25.16,-24.12,4.0,8.511601448059082,7.290882587432861,6.251765251159668
102,25.18,-24.03,8.6,10.7974214553833,9.492565155029297,5.778183937072754
103,23.96,-23.17,0.5,5.148414611816406,3.006720781326294,2.0058505535125732
104,25.4,-21.31,3.2,5.215280532836914,3.9487717151641846,3.6992104053497314
105,26.27,-24.09,6.6,9.842153549194336,8.142111778259277,8.187148094177246
106,25.42,-33.71,45.0,25.615400314331055,26.15208625793457,20.723186492919922
107,24.89,-26.65,9.6,13.414924621582031,11.84689998626709,13.215672492980957
108,18.12,-32.95,26.0,12.555426597595215,16.045936584472656,18.736103057861328
109,29.32,-23.37,5.0,11.482243537902832,10.90566349029541,12.903788566589355
110,-1.53,12.41,221.0,62.00662612915039,81.19680786132812,115.45604705810547
111,-4.76,10.56,266.0,98.07537078857422,122.29454803466797,164.29983520507812
113,6.48,18.52,1.0,1.0256563425064087,1.0434600114822388,2.0171866416931152
114,14.0,31.0,0.2,0.9941806793212891,0.49287599325180054,0.5159513354301453
115,33.5,16.75,1.0,1.0042681694030762,0.8972140550613403,1.0288361310958862
116,7.6,17.2,7.5,1.822837471961975,2.5471765995025635,5.767953395843506
117,-16.31,15.99,10.0,10.98906135559082,12.06960391998291,11.090285301208496
118,39.2,13.68,167.0,56.96056365966797,67.70641326904297,90.55109405517578
119,30.11,-2.52,235.0,160.9326171875,193.24778747558594,130.04403686523438
120,19.0,-24.0,3.0,4.46427059173584,4.390151023864746,6.167977809906006
121,17.4,-20.31,20.0,11.155279159545898,13.536616325378418,20.306236267089844
122,17.8,-21.5,28.0,14.654584884643555,21.589872360229492,18.682498931884766
123,18.0,-20.0,55.0,12.814064025878906,15.507882118225098,18.922163009643555
124,16.55,-17.0,15.0,21.96463394165039,20.508068084716797,26.524965286254883
125,17.16,-17.47,33.0,23.87965965270996,26.357528686523438,28.426284790039062
126,9.96,35.55,9.0,14.244601249694824,12.362529754638672,7.071049213409424
127,2.26,6.39,491.0,182.89881896972656,205.38697814941406,169.26638793945312
128,2.35,6.45,148.0,184.98294067382812,203.95108032226562,161.5250701904297
129,1.38,10.28,51.0,90.70614624023438,71.76724243164062,82.31454467773438
130,27.7,-26.0,100.0,88.72518157958984,110.31861114501953,50.75929641723633
131,30.55,-17.71,80.0,53.90161895751953,65.29608154296875,69.59234619140625
132,-17.0,14.72,8.0,11.48828411102295,10.88947868347168,14.49293327331543
133,38.64,9.4,160.0,127.3258056640625,150.75454711914062,152.53164672851562
134,33.74,-5.96,41.0,44.803653717041016,41.17271423339844,42.656673431396484
