Recharge_mmpa,LTA_CHIRPS_mmpa,LTA_GPCC_mmpa,LTA_P_mmpa,LTA_WD_days,LTA_PET_mm,Aridity,NDVI,Aquifer_group,Soil_group,Landcover_ext,Landcover,DEM,SM10_m3m3,SM10_kgm2,Lat,Long,ID
253,1215.75925547468,1103.6034,1234.7433557,106.02566417,1265,0.97742591034,0.5488991,Basement,LX,130,shrubland,360,0.31794244,23.815275,8.49,4.48,1
22,475.869820851224,555.43835,555.87667519,67.369998287,1386.0300279,0.40344206053,0.41753793,Basement,AC,30,grassland,1039,0.2104009,17.259396,-20.27,30.09,2
245,1267.3502073951,1341.6023,1376.7166878,192.22332918,1337.440024,1.029574919,0.68794477,Basement,NT,30,forest,1125,0.3129397,26.11455,0.46,32.96,3
185,482.137866935808,608.8807,518.19667581,59.429665377,1590.6100287,0.32618771632,0.26855856,Sedimentary,LP,200,sparse,1657,0.22938363,19.13214,13.54,39.82,4
120,1310.87896325111,1120.9034,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,Sedimentary,NT,30,cropland,26,0.33035806,25.831575,6.5,2.3,5
30,751.665755306501,1124.1342,958.50334964,136.2569969,1632.0033589,0.58749120827,0.42237392,Basement,CM,110,sparse,1206,0.24660298,23.200327,2.45,34.45,6
11,467.620799381207,493.91327,477.64334037,55.309332066,1393.1033608,0.34525067183,0.36817747,Sedimentary,LP,30,shrubland,1118,0.20946209,17.749134,-25.12,25.69,7
4,406.093122602669,444.93365,387.3833393,53.912665512,1390.9833596,0.28031091256,0.29590562,Sedimentary,AR,140,urban,1145,0.20346643,13.509513,-24.53,24.7,8
48,370.426771628672,652.5629,556.60667734,69.606998609,1307.8333577,0.4283401802,0.3761473,Basement,CM,30,shrubland,1157,0.20692775,18.647251,-23.67,29.56,9
4.5,429.271326526427,486.1393,527.19334284,85.156998078,1481.3166917,0.35730431775,0.42776838,Sedimentary,RG,30,cropland,925,0.23128791,18.615171,-32.71,25.98,10
25,683.545488069655,688.3654,661.80334524,115.41199749,1370.4366905,0.48399141363,0.39464754,Basement,CM,140,grassland,1524,0.22265519,18.781052,-4.6,34.7,11
6,297.962543857724,315.95465,296.09333796,33.943665853,1905.6767051,0.15558781051,0.18537872,Unconsolidated,AR,140,grassland,492,0.18347591,11.779277,13.37,30.84,12
114,953.636745005798,838.6445,824.98334967,79.028331571,1347.7933524,0.61494195854,0.4616577,Basement,LX,130,shrubland,1145,0.25629315,26.723202,-13.6,33.57,13
0.1,0.842917684292372,5.5250006,20.393333501,0.29600000133,2204.8233721,0.0092488144932,0.18867132,Unconsolidated,FL,200,sparse,243,0.14169374,8.909414,26,32.8,14
1.5,1.28517760030545,7.8700004,19.966666932,1.0689999698,2155.0900366,0.0092674369776,0.19885221,Unconsolidated,AR,200,sparse,188,0.14337873,9.200012,27.26,31.3,15
20,430.310245560361,493.3957,566.36334235,52.375998788,2256.1300327,0.25131208797,0.18420137,Sedimentary,AR,140,shrubland,244,0.21034749,14.315029,13.5,2.5,16
104,1163.66351153317,1233.8618,1012.0400177,183.77599622,1122.703351,0.90175832435,0.4106594,Sedimentary,AR,30,cropland,1304,0.28963068,31.867235,-0.66,29.81,17
4,395.322844217204,429.848,407.20000697,51.621998887,1374.700031,0.29710997762,0.38577127,Sedimentary,CL,30,grassland,1153,0.19653419,14.680085,-22.42,26.65,18
16,602.169264544356,628.0673,555.3133412,100.98999765,1395.1000212,0.39890825974,0.37723666,Basement,AC,140,grassland,1086,0.21374394,16.80254,-5.99,35.7,19
22,477.356541759223,579.30237,546.596676871926,65.9186651690553,1358.13668724696,0.405083235225378,0.43305466,Basement,LV,130,forest,626,0.2079037,15.899808,-20.75,30.75,20
44,313.193399461041,261.10965,363.29667453,33.846332641,2477.4600431,0.14664087859,0.24070992,Sedimentary,GL,140,grassland,343,0.19169664,12.770104,13.25,11,21
18,467.620799381207,493.91327,477.64334037,55.309332066,1393.1033608,0.34525067183,0.36817747,Sedimentary,LP,30,shrubland,1118,0.20946209,17.749134,-25.15,25.67,22
0.1,0.319619190445925,1.2633332,31.543333614,1.3359999627,2190.0467104,0.014390359779,0.107857995,Sedimentary,CL,200,sparse,332,0.14158507,9.024004,26.22,29.89,23
14,219.836567618207,235.6793,192.30333648,36.552665862,1301.1400228,0.14783115118,0.25288585,Unconsolidated,FL,150,sparse,259,0.21369319,14.368584,30.44,-9.02,24
8,502.051068287912,538.0704,550.08667597,58.708332133,1439.103357,0.38343530157,0.4445689,Sedimentary,LV,130,cropland,989,0.20220906,14.920913,-18.88,25,25
1.3,2.18545379628063,5.032,11.163333487,0.8449999795,2057.8000315,0.0054310943646,0.11052884,Sedimentary,CL,200,sparse,152,0.1460605,8.885401,27.74,29.97,26
200,1304.01058357433,1353.8088,1311.8833568,170.14832924,1469.7000224,0.89275100407,0.63156605,Basement,FR,30,cropland,1076,0.33277118,26.42637,2.05,32.79,27
0.1,31.9130892375138,9.130667,7.0600001144,8.0789998434,1922.7033636,0.003679689634,0.123964734,Sedimentary,CL,200,sparse,166,0.16534206,8.269988,28.25,21,28
0.1,0.269729794365191,2.8829997,4,1.6999999285,2284.1900418,0.001751494655,0.099133216,Sedimentary,CM,200,sparse,517,0.1405017,5.6472425,22.69,22.52,29
80,898.214824406735,983.195,917.71668581,77.012998219,1366.4633569,0.67316807807,0.5050084,Sedimentary,AC,130,cropland,1036,0.24203986,19.119024,-14.47,28.78,30
13,611.275072625251,573.21606,583.4266783,79.439998188,1459.8300239,0.40239422438,0.32505268,Sedimentary,LV,140,grassland,1504,0.23269653,19.126673,-29.57,26.69,31
17,1065.99799783499,1136.7737,1137.593353,198.04232911,1129.5266837,1.0074577566,0.6940167,Sedimentary,FR,30,cropland,1367,0.28093705,25.96757,-0.08,30.7,32
5,386.953141395625,430.33026,378.04333899,52.194665459,1360.6133598,0.27936409183,0.32433254,Sedimentary,DU,140,grassland,1122,0.20148338,13.6272545,-24.03,24.93,33
0.6,160.503623482382,128.46365,164.37333577,18.535332965,2095.4600351,0.078586375048,0.12791528,Sedimentary,CM,200,sparse,464,0.17516637,14.746265,15.9,33.8,34
10.8,288.49837709132,320.7813,328.14000658,58.876665303,1888.0966993,0.17369526178,0.2295749,Unconsolidated,AR,30,sparse,16,0.1870842,10.33587,15.99,-16.31,35
13,501.05156400708,529.05304,555.19667496,52.464331981,2259.7966993,0.24594698068,0.24109948,Sedimentary,AR,30,cropland,246,0.2125152,13.083152,13.26,2.06,36
136,423.021943533986,429.5339,461.64667447,46.133999127,2114.9333667,0.2186441358,0.20500602,Basement,PL,140,grassland,308,0.20211804,12.955577,14.19,-0.68,37
11,386.953141395625,425.50064,404.52667261,53.038332064,1346.4600274,0.30216562309,0.32433254,Sedimentary,DU,140,grassland,1122,0.20148338,13.967504,-24.1,25.02,38
82,1009.95741159017,1027.4706,999.60334779,117.97966411,1456.9533555,0.68671202354,0.4482617,Sedimentary,LX,130,shrubland,153,0.27318537,19.791952,10.2,-1.28,39
0.1,0.235220992091967,2.7863338,2,1,2188.640048,0.00091398595854,0.098692864,Sedimentary,CM,200,sparse,418,0.14125206,5.9007344,24,23,40
2,165.000717837716,178.6053,175.48666958,28.128999304,1538.8900266,0.11410115186,0.12670153,Sedimentary,LP,200,sparse,77,0.20888771,13.281754,33.3,10.5,41
147,1296.35107168332,1263.0432,1268.7300239,153.10333042,1619.56336,0.78366585929,0.5664258,Basement,FR,20,cropland,1061,0.3198038,24.146345,1.74,33.58,42
14,365.85947580271,408.27206,483.79333973,40.847998927,2344.8767041,0.2063706143,0.25914663,Sedimentary,AR,140,cropland,347,0.19543503,14.09378,12.81,10.45,43
147,1258.70665567961,1194.8,1164.3266894,106.1809975,1401.1833558,0.83286854365,0.5548976,Basement,PT,130,shrubland,410,0.30353728,21.316704,9.75,1.75,44
11.8,226.367293911876,250.875,251.93333803,51.834665393,1533.2933589,0.16495515107,0.15173212,Sedimentary,CM,150,grassland,915,0.20368409,15.772216,-32.35,22.58,45
48,355.074960649007,634.25793,840.76668064,78.478331524,1479.696689,0.56985020507,0.2700877,Sedimentary,AR,140,cropland,966,0.25258872,18.206207,-33.16,19.33,46
11.5,439.44921949347,455.122,422.32333849,61.084665175,1378.1566925,0.30697292285,0.3611035,Sedimentary,LP,140,grassland,1170,0.19451372,12.70581,-19.6,20.5,47
420,1513.91517126481,1468.1597,1507.2566956,104.29266445,1045.8400184,1.4406934106,0.6131442,Basement,AC,130,shrubland,494,0.35219887,25.302229,-4.5,15.3,48
5,135.535007982864,218.49268,173.98000279,16.357666295,1833.6766986,0.095480218724,0.13321277,Sedimentary,LP,200,grassland,385,0.17396599,12.890726,11.45,43.1,49
0.1,0.153998945725137,0.6773333,27.420000248,0.5940000097,2126.9833663,0.012882233422,0.1015092,Sedimentary,LP,200,sparse,282,0.14138947,9.350099,26,29,50
125,1121.96305224684,975.471,979.3633492,149.91432973,1258.2733522,0.7791719926,0.72956586,Basement,AL,30,cropland,67,0.3369473,27.597595,5.83,-0.33,51
71,938.520140581965,968.62,968.75001583,109.50833049,1487.9233517,0.65199010237,0.41572976,Basement,PT,20,cropland,232,0.2604901,17.738697,10.79,-0.86,52
25,152.957709830515,180.96432,162.99000308,26.024332648,2082.2500341,0.078373011198,0.16434787,Unconsolidated,GL,200,grassland,269,0.18027665,8.553062,16.7,-3.02,53
20,439.496814590774,506.0417,523.68667232,72.516664786,1465.1700251,0.35778859196,0.41531765,Basement,LP,30,forest,1560,0.20104894,15.96487,-19.7,17.7,54
4.5,168.969050743857,185.707,184.24666903,32.281999346,1787.0166969,0.10332116688,0.20150518,Sedimentary,AR,140,grassland,981,0.18268564,10.756692,-25.8,19.8,55
3,128.928460766859,119.09633,136.9966688,27.72066598,1699.4733605,0.080713333607,0.13875988,Sedimentary,DU,140,sparse,980,0.18977937,12.979957,-29.75,19.58,56
0.62,159.784775669567,183.64569,156.49666952,40.717999047,1470.3200252,0.10668719298,0.22850321,Basement,LP,140,grassland,434,0.19718567,12.737281,-30.29,17.79,57
54,547.745576503653,624.68805,557.90334271,75.086998175,1441.6933606,0.38952874262,0.3808142,Sedimentary,LX,30,cropland,1430,0.22788829,16.67668,-26,26.5,58
92,854.920089880449,833.9505,819.46001417,110.01233062,1281.0500247,0.64443236114,0.49900612,Basement,RG,30,grassland,803,0.2536985,27.393705,-28.27,31.26,59
3.5,300.591069889877,256.28598,214.48333729,61.483665205,1474.6100209,0.14592023612,0.29130358,Sedimentary,AR,140,grassland,263,0.19635269,14.025481,-32.2,18.48,60
9,368.318199116306,434.53903,424.28334015,56.227331917,1588.1900279,0.26877665014,0.2961165,Basement,CM,140,grassland,1438,0.20598689,14.032971,-27.44,23.5,61
29,304.536690473533,325.586,321.94667211,42.389665672,1629.6100229,0.19836396005,0.26123023,Sedimentary,CM,140,grassland,1094,0.19925772,13.022212,-27.24,22.83,62
156,478.386237045883,634.25793,840.76668064,78.478331524,1479.696689,0.56985020507,0.3901623,Sedimentary,LV,60,forest,445,0.25258872,18.206207,-33.28,19.24,63
13,325.122335510186,384.929,420.18000844,80.902664753,1339.3366904,0.31460103485,0.24513091,Sedimentary,LP,60,grassland,812,0.23172094,18.412966,-33.65,20.53,64
130,365.85947580271,408.27206,483.79333973,40.847998927,2344.8767041,0.2063706143,0.30428538,Sedimentary,AR,140,cropland,347,0.20184469,14.09378,12.68,10.34,65
95,721.049253477537,676.0231,739.76667785,73.895998479,1294.8533555,0.57463832404,0.42744827,Sedimentary,AC,140,grassland,1362,0.22364894,18.060057,-18.42,30.7,66
22,525.498666675481,556.00494,592.22000833,65.957665179,1511.9666922,0.39382512116,0.43517908,Sedimentary,VR,130,forest,1210,0.20750998,19.339466,-19.83,28.23,67
63,1085.6878164755,903.74866,1048.0900191,103.82499783,1265.9600198,0.8295610167,0.59158856,Basement,LV,130,cropland,77,0.32886785,25.944187,6.48,1.31,68
198,951.705053702133,985.7766,1086.8900212,96.488331134,1197.6700196,0.90875390772,0.43886685,Sedimentary,VR,20,cropland,2159,0.2813675,30.64266,8.94,38.84,69
130,1027.37319906591,1033.0436,1023.5466827,118.64199726,1475.060022,0.69474866085,0.43045902,Sedimentary,PT,130,cropland,159,0.27209252,18.791416,10.33,-0.86,70
32,1126.96397313935,1129.9197,1115.4333501,138.49233076,1424.3033548,0.7840510651,0.4419602,Sedimentary,PT,130,shrubland,139,0.29028806,20.2974,9.43,-0.85,71
1.4,401.378117682519,505.73862,372.16667225,64.4976653,1421.6500276,0.2620602369,0.33818346,Sedimentary,AR,140,grassland,1259,0.19587046,13.059705,-19.9,19.31,72
941,2223.5355699928,2128.387,1961.9600312,168.58299596,1144.8800208,1.7142600975,0.6519437,Basement,FR,30,forest,942,0.36709657,26.680746,6.44,10.31,73
251,1993.8428855852,1975.8248,2039.0000256,185.13799608,1055.5566826,1.9322477968,0.6240464,Basement,WR,130,cropland,1438,0.37472567,29.47448,5.99,10.44,74
87,1707.99748230263,1571.8049,1662.8300272,154.59766337,1033.4800151,1.6099339229,0.7313718,Basement,FR,30,forest,695,0.38214442,27.886757,3.8,11.55,75
77,821.349640360955,807.35077,737.01334534,68.46733164,1996.2300345,0.36922895015,0.34463128,Sedimentary,VR,30,urban,514,0.23281746,18.421581,10.6,14.34,76
2,31.120451150835,34.879665,10.133333561,8.2273331533,1814.6066944,0.0055899156632,0.09999944,Unconsolidated,AR,200,sparse,228,0.1692076,4.2583566,30.47,5.43,77
94,1027.37319906591,1033.0436,1023.5466827,118.64199726,1475.060022,0.69474866085,0.4292535,Sedimentary,PT,20,shrubland,159,0.27209252,18.791416,10.3,-0.54,78
37,588.377362958691,651.3857,547.55667621,59.359331887,1625.0966894,0.33730885516,0.26855856,Sedimentary,LP,30,sparse,2026,0.24154882,19.197529,13.51,39.46,79
20,507.613467077438,518.63007,499.98334283,51.930998826,1909.6533666,0.26231940291,0.23015194,Sedimentary,LP,30,cropland,357,0.20265788,13.054799,14.35,-3.61,80
24,204.214279482317,233.02933,201.38000262,42.721665964,1708.1166949,0.11808443895,0.20839222,Sedimentary,AR,140,grassland,1219,0.181364,11.143961,-24.2,18.5,81
22,452.712621128095,407.74902,512.08667426,70.665331756,1858.8533643,0.27557020314,0.3274903,Unconsolidated,GL,210,cropland,30,0.19424514,13.364035,14.77,-17.29,82
43,523.48137789473,531.139,549.68334096,57.225332089,1491.2466847,0.36887957541,0.39467856,Sedimentary,AR,140,forest,1152,0.2030128,13.661489,-17.47,16.79,83
50.6,406.834374787344,245.55435,378.07667403,62.888665155,1509.550024,0.25056409353,0.26232195,Sedimentary,CL,150,cropland,1932,0.23271325,18.861717,31.43,-7.8,84
60,537.898028005733,781.3486,605.75001032,93.221997854,1436.7100242,0.42379892888,0.429794,Unconsolidated,PL,30,shrubland,147,0.2526971,17.865202,-33.52,18.6,85
184,513.833910500288,1122.4503,615.9366772,103.17066439,1167.080022,0.53041301463,0.49352905,Sedimentary,LP,50,forest,450,0.25887224,19.566792,-34.13,18.91,86
3.6,152.957709830515,180.96432,162.99000308,26.024332648,2082.2500341,0.078373011198,0.16434787,Unconsolidated,GL,200,sparse,269,0.18027665,8.553062,16.75,-3.01,87
19.4,448.861353024412,871.2391,721.25001421,69.751665267,1365.4900249,0.53168373445,0.52756095,Basement,RG,30,forest,766,0.22695537,16.615229,-23.15,30.3,88
12,473.338473184403,566.7687,571.23667701,83.225331403,1900,0.26,0.39323223,Unconsolidated,KS,210,cropland,47,0.24187048,18.986446,37.04,11.03,89
7.5,143.42031193909,145.60799,128.21666853,34.059665859,2116.1233648,0.060555629052,0.15946195,Unconsolidated,AR,200,grassland,53,0.17885132,6.329429,17.54,-14.81,90
0.36,44.1744663983563,37.229336,30.670000553,19.231999537,1888.9767025,0.016241427614,0.1005912,Sedimentary,AR,200,sparse,148,0.17241496,6.262812,31.5,6.77,91
1.05,80.7692774308436,105.989655,118.10000189,27.528666068,1683.4466915,0.070133699204,0.07507437,Unconsolidated,SC,200,sparse,33,0.19057155,11.346056,33.5,8.5,92
149,1106.31429814607,1063.4293,1129.9233538,93.774998277,1413.0066919,0.80058625646,0.48195928,Basement,PT,130,cropland,352,0.26867753,20.138144,11.42,-7.47,93
52,989.280266456163,1034.8687,988.15668228,147.87666373,1412.8800261,0.70135487757,0.61310387,Sedimentary,AR,50,cropland,77,0.25099048,20.502163,-6.92,39.17,94
12,395.322844217204,429.848,407.20000697,51.621998887,1374.700031,0.29710997762,0.38577127,Sedimentary,CL,30,grassland,1153,0.19653419,14.680085,-22.4,26.72,95
50,496.777202650321,947.9347,717.18001126,69.601665095,1306.8700191,0.55295128425,0.5219473,Basement,RG,30,shrubland,720,0.22554702,18.861013,-23.59,30.1,96
25,433.3933207114,404.98032,492.1533422,47.645998926,2286.5200357,0.21546439513,0.18420137,Sedimentary,AR,140,sparse,238,0.2041779,13.5562315,13.6,2.7,97
24,430.310245560361,493.3957,566.36334235,52.375998788,2256.1300327,0.25131208797,0.18420137,Sedimentary,AR,140,grassland,244,0.2041779,14.315029,13.48,2.66,98
43,824.904411355531,605.2187,675.67334485,53.428998753,2035.3966995,0.33193042722,0.35512182,Sedimentary,LV,20,cropland,378,0.2231479,16.748375,11.5,13,99
60,941.225797438722,968.62,968.75001583,109.50833049,1487.9233517,0.65199010237,0.41572976,Basement,PT,20,cropland,242,0.25996023,17.738697,10.94,-0.95,100
4,394.187189584394,425.50064,404.52667261,53.038332064,1346.4600274,0.30216562309,0.32433254,Sedimentary,DU,30,cropland,1146,0.20150179,13.967504,-24.12,25.16,101
8.6,394.187189584394,425.50064,404.52667261,53.038332064,1346.4600274,0.30216562309,0.32433254,Sedimentary,DU,30,grassland,1146,0.20150179,13.967504,-24.03,25.18,102
0.5,341.396935954907,372.81827,326.62000517,47.61199886,1397.2266946,0.23447485845,0.28726652,Sedimentary,AR,140,grassland,1025,0.19580252,13.098578,-23.17,23.96,103
3.2,330.345069606557,359.90997,341.75000563,50.552998883,1419.7000216,0.24118628422,0.33450037,Sedimentary,LP,140,urban,972,0.19307132,13.481213,-21.31,25.4,104
6.6,433.660653366026,414.21466,396.30667243,51.997998739,1339.2533608,0.29751232447,0.35898238,Unconsolidated,AR,30,cropland,978,0.20009662,14.411346,-24.09,26.27,105
45,446.815612033894,482.32004,462.0433418,91.873998006,1288.6066891,0.36014289074,0.5526639,Sedimentary,LP,60,forest,185,0.22992982,17.615753,-33.71,25.42,106
9.6,438.590015636122,462.68164,454.66000913,59.877665206,1630.3066928,0.28087457674,0.30635002,Sedimentary,CM,140,forest,1290,0.20756526,14.2723,-26.65,24.89,107
26,476.405820259918,311.12863,256.14000469,71.495998189,1469.4300252,0.17503829102,0.38604423,Unconsolidated,SN,140,cropland,63,0.21811391,14.543881,-32.95,18.12,108
5,370.426771628672,390.0247,404.22000712,57.688998795,1424.850028,0.28531335468,0.346751,Basement,LV,30,cropland,1157,0.20692775,15.684635,-23.37,29.32,109
221,697.156855033227,731.82404,773.67668066,75.141998344,1821.9733686,0.42494882226,0.29222882,Basement,PT,14,sparse,313,0.23349345,16.81649,12.41,-1.53,110
266,1031.72758842398,1023.1729,1038.8466829,93.342331165,1603.6567007,0.64855229584,0.47442737,Basement,LV,20,cropland,344,0.27594444,21.381884,10.56,-4.76,111
0.1,71.3558620101134,79.61301,68.753334366,16.529332924,2271.4267004,0.03028481109,0.08636849,Unconsolidated,PT,200,sparse,273,0.16319822,5.0539346,19,-3,112
1,61.3180541364722,46.640003,75.170001487,17.793332915,2351.3000398,0.031992683029,0.105082564,Sedimentary,AR,200,sparse,384,0.16576244,5.296569,18.52,6.48,113
0.2,126.734774415588,61.659664,96.470002136,24.862332772,1826.1633631,0.052904385,0.12057293,Sedimentary,CL,200,sparse,248,0.19707498,13.391672,31,14,114
1,59.8132368562177,67.63033,73.233334655,10.495333106,2070.7467006,0.035419654013,0.12530929,Sedimentary,VR,200,grassland,390,0.16550621,9.519426,16.75,33.5,115
7.5,111.064148783113,135.78633,125.11666837,24.490999419,2529.3567077,0.049486316628,0.13471304,Sedimentary,AR,140,sparse,429,0.17537245,8.930792,17.2,7.6,116
10,288.49837709132,320.7813,328.14000658,58.876665303,1888.0966993,0.17369526178,0.2295749,Unconsolidated,AR,30,sparse,16,0.1870842,10.33587,15.99,-16.31,117
167,588.377362958691,651.3857,547.55667621,59.359331887,1625.0966894,0.33730885516,0.27758235,Sedimentary,LP,110,cropland,2026,0.24154882,19.197529,13.68,39.2,118
235,1057.42204776127,1132.4531,1040.6566839,170.75699589,1170.6100162,0.88949324347,0.5873217,Sedimentary,FR,30,cropland,1454,0.28490856,31.514791,-2.52,30.11,119
3,211.870101461,219.29132,205.17666946,43.160332482,1680.2433604,0.12231685894,0.21914984,Sedimentary,AR,140,grassland,1208,0.1842374,11.537509,-24,19,120
20,362.094880364404,454.2986,425.90000499,67.818331859,1518.6933501,0.28080171255,0.32726583,Sedimentary,AR,140,grassland,1494,0.19931163,13.048116,-20.31,17.4,121
28,353.750612650432,379.56805,356.05000492,64.833998428,1505.4600268,0.23703726056,0.32680953,Basement,CM,140,grassland,1486,0.19321816,12.789656,-21.5,17.8,122
55,403.627639055275,402.67133,376.96000525,67.531998176,1454.5800216,0.25950231679,0.33935368,Sedimentary,AR,140,grassland,1281,0.19757237,13.789494,-20,18,123
15,543.811180512436,531.139,549.68334096,57.225332089,1491.2466847,0.36887957541,0.4469353,Sedimentary,AR,130,forest,1145,0.20495418,13.661489,-17,16.55,124
33,541.171991951328,519.38544,554.53334187,59.516332004,1488.5400194,0.37285507424,0.42624134,Sedimentary,AR,140,shrubland,1166,0.20521487,14.045931,-17.47,17.16,125
9,315.85102318176,353.75864,489.33667577,64.737665225,1380.7533556,0.35498718467,0.21508968,Unconsolidated,FL,150,sparse,88,0.2363255,21.84816,35.55,9.96,126
491,1310.87896325111,1120.9034,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,Sedimentary,RG,30,forest,26,0.33035806,25.831575,6.39,2.26,127
148,1310.87896325111,1120.9034,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,Sedimentary,RG,30,urban,26,0.33035806,25.831575,6.45,2.35,128
51,1158.08811672519,1124.2673,1111.4133497,105.12399738,1433.7466881,0.77658606787,0.50222284,Basement,LP,130,cropland,440,0.29281113,21.718115,10.28,1.38,129
100,611.063066477181,669.56696,655.2800133,85.363664963,1356.0700246,0.48664926718,0.40372387,Sedimentary,LP,30,shrubland,1376,0.3238713,22.159473,-26,27.7,130
80,787.538744531148,753.93494,816.7200128,80.897664794,1266.2333554,0.64876715354,0.4790565,Basement,CM,130,shrubland,1382,0.22793703,19.953318,-17.71,30.55,131
8,482.529637002948,467.5077,510.14000915,68.636998318,1922.5367042,0.26540293083,0.3274903,Unconsolidated,GL,14,cropland,28,0.19424514,11.22682,14.72,-17,132
160,1010.9161200148,1053.961,1215.0733556,99.186664525,1149.0266827,1.0580982071,0.44707796,Sedimentary,LP,20,cropland,2482,0.279276,29.11632,9.4,38.64,133
41,802.421776574456,801.08813,555.3133412,100.98999765,1395.1000212,0.39890825974,0.5614352,Basement,AC,60,grassland,1408,0.23186427,18.032843,-5.96,33.74,316
